b p
cat tsʰɐt̚
cak tsʰɐk̚
ce tsʰɛː
cei tsʰei̯
ceu tsʰɛːu̯
cem tsʰɛːm
ceng tsʰɛːŋ
cep tsʰɛːp̚
cek tsʰɛːk̚
ci tsʰiː
ciu tsʰiːu̯
cim tsʰiːm
cin tsʰiːn
cing tsʰeŋ
cip tsʰiːp̚
cit tsʰiːt̚
cik tsʰek̚
co tsʰɔː
coi tsʰɔːy̯
cou tsʰou̯
con tsʰɔːn
cong tsʰɔːŋ
cot tsʰɔːt̚
cok tsʰɔːk̚
cu tsʰuː
cui tsʰuːy̯
cun tsʰuːn
cung tsʰoŋ
cut tsʰuːt̚
cuk tsʰok̚
coe tsʰœː
ceoi tsʰɵy̯
ceon tsʰɵn
coeng tsʰœːŋ
ceot tsʰɵt̚
coek tsʰœːk̚
cyu tsʰyː
cyun tsʰyːn
cyut tsʰyːt̚
saa saː
saai saːi̯
saau saːu̯
saam saːm
saan saːn
saang saːŋ
saap saːp̚
saat saːt̚
saak saːk̚
sai sɐi̯
sau sɐu̯
sam sɐm
san sɐn
sang sɐŋ
sap sɐp̚
sat sɐt̚
sak sɐk̚
se sɛː
sei sei̯
seu sɛːu̯
sem sɛːm
seng sɛːŋ
sep sɛːp̚
sek sɛːk̚
si siː
siu siːu̯
sim siːm
sin siːn
sing seŋ
sip siːp̚
sit siːt̚
sik sek̚
so sɔː
soi sɔːy̯
sou sou̯
son sɔːn
song sɔːŋ
sot sɔːt̚
sok sɔːk̚
su suː
sui suːy̯
sun suːn
sung soŋ
sut suːt̚
suk sok̚
soe sœː
seoi sɵy̯
seon sɵn
soeng sœːŋ
seot sɵt̚
soek sœːk̚
syu syː
syun syːn
syut syːt̚
jaa jaː
jaai jaːi̯
jaau jaːu̯
jaam jaːm
jaan jaːn
jaang jaːŋ
jaap jaːp̚
jaat jaːt̚
jaak jaːk̚
jai jɐi̯
jau jɐu̯
jam jɐm
jan jɐn
jang jɐŋ
jap jɐp̚
jat jɐt̚
jak jɐk̚
je jɛː
jei jei̯
jeu jɛːu̯
jem jɛːm
jeng jɛːŋ
jep jɛːp̚
jek jɛːk̚
ji jiː
jiu jiːu̯
jim jiːm
jin jiːn
jing jeŋ
jip jiːp̚
jit jiːt̚
jik jek̚
jo jɔː
joi jɔːy̯
jou jou̯
jon jɔːn
jong jɔːŋ
jot jɔːt̚
jok jɔːk̚
ju juː
jui juːy̯
jun juːn
jung joŋ
jut juːt̚
juk jok̚
joe jœː
jeoi jɵy̯
jeon jɵn
joeng jœːŋ
jeot jɵt̚
joek jœːk̚
jyu jyː
jyun jyːn
jyut jyːt̚
lingqqqq 〇
q ˥˧
q ˥
qq ˧˥
qqq ˧˧
qqq ˧
qqqq ˨˩
qqqqq ˨˧
qqqqqq ˨˨
qqqqqq ˨
q ⁵⁵
q ⁵
qq ³⁵
qqq ³³
qqq ³
qqqq ¹¹
qqqqq ¹³
qqqqqq ²²
qqqqqq ²
aaq 丫
aaq 厊
aaq 吖
aaq 呀
aaq 哑
aaq 啊
aaq 孲
aaq 枒
aaq 桠
aaq 椏
aaq 錏
aaq 雅
aaq 鴉
aaq 鸦
aaqq 哑
aaqq 啊
aaqq 啞
aaqq 嗄
aaqq 掗
aaqq 阿
aaqqq 亚
aaqqq 亞
aaqqq 啊
aaqqq 垭
aaqqq 埡
aaqqq 娅
aaqqq 婭
aaqqq 掗
aaqqq 氩
aaqqq 氬
aaqqq 襾
aaqqq 錏
aaqqq 錒
aaqqq 钶
aaqqq 锕
aaqqq 阿
aaqqqq 啊
aaiq 哎
aaiq 唉
aaiq 唲
aaiq 嗳
aaiq 埃
aaiq 娭
aaiq 挨
aaiqq 欸
aaiqq 毐
aaiqq 矮
aaiqqq 嗄
aaiqqq 嗌
aaiqqq 噫
aaiqqq 砨
aaiqqq 賹
aaiqqq 阨
aaiqqq 隘
aaiqqq 餲
aakq 厄
aakq 呃
aakq 扼
aakq 握
aakq 搹
aakq 軛
aakq 軶
aakq 轭
aakqqq 阿
aamq 恰
aamqq 菡
aanq 殷
aanqq 俺
aanqqq 姲
aanqqq 晏
aanqqq 洝
aanqqq 騴
aanqqq 鴳
aanqqq 鷃
aangq 甖
aangq 罂
aangq 罃
aangq 罌
aapqqq 押
aapqqq 鴨
aapqqq 鸭
aatqqq 压
aatqqq 堨
aatqqq 壓
aatqqq 恝
aatqqq 戛
aatqqq 押
aatqqq 揠
aatqqq 歹
aatqqq 洝
aatqqq 猒
aatqqq 猰
aatqqq 胺
aatqqq 轧
aatqqq 遏
aatqqq 閼
aatqqq 阏
aatqqq 頞
aatqqq 餲
aatqqq 齃
aauq 凹
aauq 咬
aauq 坳
aauq 抓
aauq 柪
aauqq 拗
aauqq 詏
aauqq 靿
aauqq 鴢
aauqqq 凹
aauqqq 坳
aauqqq 岰
aauqqq 拗
aauqqq 柪
aauqqq 箹
aauqqq 袎
aauqqq 靿
aiq 繄
aiq 鷖
aiqq 欸
aiqq 矮
aiqqq 哎
aiqqq 嫕
aiqqq 屭
aiqqq 曀
aiqqq 殪
aiqqq 瘗
aiqqq 瘱
aiqqq 縊
aiqqq 缢
aiqqq 翳
aiqqq 蘙
aiqqq 豷
aiqqq 贀
aiqqq 隘
akq 偓
akq 厄
akq 呃
akq 哑
akq 啞
akq 喔
akq 幄
akq 扼
akq 握
akq 搤
akq 搹
akq 枙
akq 殕
akq 渥
akq 砨
akq 腛
akq 蚅
akq 豟
akq 軶
akq 阨
akq 隘
akq 餩
akq 齷
akq 龌
amq 匎
amq 厂
amq 垵
amq 埯
amq 媕
amq 庵
amq 痷
amq 盦
amq 腤
amq 菴
amq 萻
amq 諳
amq 谙
amq 闇
amq 阴
amq 韽
amq 馣
amq 鵪
amq 鹌
amqq 唵
amqq 啽
amqq 埯
amqq 揜
amqq 晻
amqq 諳
amqq 谙
amqq 闇
amqq 黯
amqqq 匼
amqqq 晻
amqqq 暗
amqqq 腤
amqqq 闇
amqqq 黯
angq 甇
angq 罂
angq 罃
angq 莺
angq 褮
angq 鞥
angq 鶯
angqq 哽
apq 洽
auq 勾
auq 区
auq 區
auq 呕
auq 嘔
auq 怄
auq 慪
auq 櫙
auq 欧
auq 歐
auq 沤
auq 熰
auq 瓯
auq 甌
auq 藲
auq 謳
auq 讴
auq 鉤
auq 鏂
auq 钩
auq 鷗
auq 鸥
auqq 呕
auqq 嘔
auqq 敺
auqq 欧
auqq 歐
auqq 殴
auqq 毆
auqqq 怄
auqqq 沤
auqqq 漚
baaq 叭
baaq 吧
baaq 峇
baaq 巴
baaq 爸
baaq 疤
baaq 笆
baaq 粑
baaq 芭
baaq 葩
baaq 蚆
baaq 豝
baaqq 把
baaqq 鈀
baaqq 钯
baaqq 靶
baaqqq 伯
baaqqq 坝
baaqqq 埧
baaqqq 壩
baaqqq 弝
baaqqq 把
baaqqq 灞
baaqqq 耙
baaqqq 霸
baaqqq 靶
baaqqqqqq 吧
baaqqqqqq 呗
baaqqqqqq 猈
baaqqqqqq 矲
baaqqqqqq 罢
baaqqqqqq 罷
baaiq 拜
baaiq 掰
baaiq 擘
baaiqq 捭
baaiqq 掰
baaiqq 摆
baaiqq 擺
baaiqq 襬
baaiqqq 庍
baaiqqq 拜
baaiqqq 湃
baaiqqqqqq 呗
baaiqqqqqq 唄
baaiqqqqqq 惫
baaiqqqqqq 憊
baaiqqqqqq 敗
baaiqqqqqq 稗
baaiqqqqqq 粺
baaiqqqqqq 败
baakq 迫
baakqqq 伯
baakqqq 佰
baakqqq 挀
baakqqq 柏
baakqqq 檗
baakqqq 櫱
baakqqq 泊
baakqqq 泺
baakqqq 百
baakqqq 絔
baakqqq 舶
baakqqq 薜
baakqqq 蘗
baakqqq 袹
baakqqq 迫
baakqqqqqq 僰
baakqqqqqq 匐
baakqqqqqq 卜
baakqqqqqq 孛
baakqqqqqq 帛
baakqqqqqq 殕
baakqqqqqq 白
baakqqqqqq 舶
baakqqqqqq 菔
baakqqqqqq 蔔
baakqqqqqq 踣
baanq 扳
baanq 攽
baanq 斑
baanq 斒
baanq 班
baanq 瘢
baanq 頒
baanq 颁
baanq 鳻
baanqq 坂
baanqq 扳
baanqq 昄
baanqq 板
baanqq 版
baanqq 舨
baanqq 蝂
baanqq 鈑
baanqq 钣
baanqq 闆
baanqq 阪
baanqq 魬
baanqqq 扮
baanqqqqqq 办
baanqqqqqq 扮
baanqqqqqq 昄
baanqqqqqq 湴
baanqqqqqq 爿
baanqqqqqq 瓣
baanqqqqqq 辦
baanqqqqqq 阪
baangqqqqqq 唪
baangqqqqqq 堋
baangqqqqqq 塴
baangqqqqqq 繃
baangqqqqqq 绷
baangqqqqqq 蹦
baatqqq 仈
baatqqq 八
baatqqq 扒
baatqqq 捌
baatqqq 柭
baatqqqqqq 茇
baatqqqqqq 魃
baauq 包
baauq 孢
baauq 枹
baauq 炮
baauq 笣
baauq 胞
baauq 苞
baauq 鮑
baauq 鲍
baauqq 怉
baauqq 飹
baauqq 飽
baauqq 饱
baauqqq 炮
baauqqq 爆
baauqqq 趵
baauqqqqqq 鞄
baauqqqqqq 鮑
baauqqqqqq 鲍
baauqqqqqq 齙
baauqqqqqq 龅
baiq 狴
baiq 篦
baiq 蓖
baiq 豍
baiq 跛
baiq 鎞
baiqqq 埤
baiqqq 嬖
baiqqq 泌
baiqqq 濞
baiqqq 祕
baiqqq 秘
baiqqq 蔽
baiqqq 閉
baiqqq 闭
baiqqqqqq 坒
baiqqqqqq 币
baiqqqqqq 幣
baiqqqqqq 弊
baiqqqqqq 敝
baiqqqqqq 斃
baiqqqqqq 梐
baiqqqqqq 毙
baiqqqqqq 狴
baiqqqqqq 獘
baiqqqqqq 獙
baiqqqqqq 稗
baiqqqqqq 粺
baiqqqqqq 薜
baiqqqqqq 蜌
baiqqqqqq 陛
baiqqqqqq 鷩
bakq 北
bamq 乓
bamq 泵
banq 份
banq 傧
banq 儐
banq 奔
banq 宾
banq 彬
banq 攽
banq 斌
banq 栟
banq 椕
banq 槟
banq 檳
banq 汃
banq 泍
banq 浜
banq 渀
banq 滨
banq 濒
banq 濱
banq 瀕
banq 玢
banq 璸
banq 礗
banq 繽
banq 缤
banq 虨
banq 蟦
banq 蠙
banq 豩
banq 豳
banq 賁
banq 賓
banq 贲
banq 邠
banq 錛
banq 鐼
banq 鑌
banq 锛
banq 镔
banq 霦
banq 驞
